P 11.613591 11.658737 0 119 0
P 1.290286 9.040786 2 56 5
P 21.936895 14.276689 1 217 5
P 5.648358 18.265992 2 65 4
P 17.578824 5.051482 2 32 4
P 0.000000 17.566463 2 61 2
P 23.227182 5.751012 1 49 2
P 15.996407 22.492537 1 62 5
P 7.230774 0.824938 2 69 5
P 12.096861 23.317475 1 55 5
P 11.130321 0.000000 2 54 5
P 5.905729 2.482273 2 6 1
P 17.321452 20.835201 1 7 1
P 18.286013 0.765778 2 31 3
P 4.941168 22.551697 2 55 3
P 20.106711 18.059385 1 62 5
P 3.120471 5.258090 2 59 5
P 4.594839 13.786000 2 53 2
P 18.632343 9.531475 2 10 2
P 8.801192 20.015703 2 9 1
P 14.425990 3.301771 2 19 1
P 19.466787 20.056168 1 369 5
P 3.760394 3.261307 2 35 5
F 2 64 22 15 23 1
F 2 45 1 7 20 5
F 2 32 1 9 18 4
F 2 44 5 7 17 3
F 2 36 8 9 24 11
F 2 40 8 9 24 12
F 2 13 1 9 18 7
F 2 77 16 6 21 10
F 2 4 1 15 21 11
F 2 4 1 15 21 12
F 2 4 1 15 21 13
F 1 2 2 4 11 3
F 2 25 3 12 12 5
F 1 4 2 4 11 4
F 2 64 10 15 21 14
F 1 2 12 19 9 2
F 1 4 2 4 11 5
F 1 2 2 18 6 1
F 1 4 2 4 11 6
F 1 2 2 18 6 2
F 1 4 2 4 11 7
F 1 2 2 18 6 3
F 1 4 2 4 11 8
F 1 2 2 18 6 4
F 1 4 2 4 11 9
F 1 2 2 18 6 5
F 1 4 2 4 11 10
go
